"Step","reversed_addition_mlp_3750_1 - test_acc","reversed_addition_mlp_3750_1 - test_acc__MIN","reversed_addition_mlp_3750_1 - test_acc__MAX","reversed_addition_mlp_3750_1 - train_acc","reversed_addition_mlp_3750_1 - train_acc__MIN","reversed_addition_mlp_3750_1 - train_acc__MAX","reversed_addition_mlp_3750_0 - test_acc","reversed_addition_mlp_3750_0 - test_acc__MIN","reversed_addition_mlp_3750_0 - test_acc__MAX","reversed_addition_mlp_3750_0 - train_acc","reversed_addition_mlp_3750_0 - train_acc__MIN","reversed_addition_mlp_3750_0 - train_acc__MAX","reversed_addition_mlp_3750_2 - test_acc","reversed_addition_mlp_3750_2 - test_acc__MIN","reversed_addition_mlp_3750_2 - test_acc__MAX","reversed_addition_mlp_3750_2 - train_acc","reversed_addition_mlp_3750_2 - train_acc__MIN","reversed_addition_mlp_3750_2 - train_acc__MAX","reversed_addition_mlp_5000_2 - test_acc","reversed_addition_mlp_5000_2 - test_acc__MIN","reversed_addition_mlp_5000_2 - test_acc__MAX","reversed_addition_mlp_5000_2 - train_acc","reversed_addition_mlp_5000_2 - train_acc__MIN","reversed_addition_mlp_5000_2 - train_acc__MAX","reversed_addition_mlp_5000_1 - test_acc","reversed_addition_mlp_5000_1 - test_acc__MIN","reversed_addition_mlp_5000_1 - test_acc__MAX","reversed_addition_mlp_5000_1 - train_acc","reversed_addition_mlp_5000_1 - train_acc__MIN","reversed_addition_mlp_5000_1 - train_acc__MAX","reversed_addition_mlp_5000_0 - test_acc","reversed_addition_mlp_5000_0 - test_acc__MIN","reversed_addition_mlp_5000_0 - test_acc__MAX","reversed_addition_mlp_5000_0 - train_acc","reversed_addition_mlp_5000_0 - train_acc__MIN","reversed_addition_mlp_5000_0 - train_acc__MAX","reversed_addition_mlp_2500_2 - test_acc","reversed_addition_mlp_2500_2 - test_acc__MIN","reversed_addition_mlp_2500_2 - test_acc__MAX","reversed_addition_mlp_2500_2 - train_acc","reversed_addition_mlp_2500_2 - train_acc__MIN","reversed_addition_mlp_2500_2 - train_acc__MAX","reversed_addition_mlp_2500_1 - test_acc","reversed_addition_mlp_2500_1 - test_acc__MIN","reversed_addition_mlp_2500_1 - test_acc__MAX","reversed_addition_mlp_2500_1 - train_acc","reversed_addition_mlp_2500_1 - train_acc__MIN","reversed_addition_mlp_2500_1 - train_acc__MAX","reversed_addition_mlp_2500_0 - test_acc","reversed_addition_mlp_2500_0 - test_acc__MIN","reversed_addition_mlp_2500_0 - test_acc__MAX","reversed_addition_mlp_2500_0 - train_acc","reversed_addition_mlp_2500_0 - train_acc__MIN","reversed_addition_mlp_2500_0 - train_acc__MAX","reversed_addition_mlp_20000_2 - test_acc","reversed_addition_mlp_20000_2 - test_acc__MIN","reversed_addition_mlp_20000_2 - test_acc__MAX","reversed_addition_mlp_20000_2 - train_acc","reversed_addition_mlp_20000_2 - train_acc__MIN","reversed_addition_mlp_20000_2 - train_acc__MAX","reversed_addition_mlp_20000_1 - test_acc","reversed_addition_mlp_20000_1 - test_acc__MIN","reversed_addition_mlp_20000_1 - test_acc__MAX","reversed_addition_mlp_20000_1 - train_acc","reversed_addition_mlp_20000_1 - train_acc__MIN","reversed_addition_mlp_20000_1 - train_acc__MAX","reversed_addition_mlp_20000_0 - test_acc","reversed_addition_mlp_20000_0 - test_acc__MIN","reversed_addition_mlp_20000_0 - test_acc__MAX","reversed_addition_mlp_20000_0 - train_acc","reversed_addition_mlp_20000_0 - train_acc__MIN","reversed_addition_mlp_20000_0 - train_acc__MAX","reversed_addition_mlp_15000_2 - test_acc","reversed_addition_mlp_15000_2 - test_acc__MIN","reversed_addition_mlp_15000_2 - test_acc__MAX","reversed_addition_mlp_15000_2 - train_acc","reversed_addition_mlp_15000_2 - train_acc__MIN","reversed_addition_mlp_15000_2 - train_acc__MAX","reversed_addition_mlp_15000_1 - test_acc","reversed_addition_mlp_15000_1 - test_acc__MIN","reversed_addition_mlp_15000_1 - test_acc__MAX","reversed_addition_mlp_15000_1 - train_acc","reversed_addition_mlp_15000_1 - train_acc__MIN","reversed_addition_mlp_15000_1 - train_acc__MAX","reversed_addition_mlp_15000_0 - test_acc","reversed_addition_mlp_15000_0 - test_acc__MIN","reversed_addition_mlp_15000_0 - test_acc__MAX","reversed_addition_mlp_15000_0 - train_acc","reversed_addition_mlp_15000_0 - train_acc__MIN","reversed_addition_mlp_15000_0 - train_acc__MAX","reversed_addition_mlp_1250_2 - test_acc","reversed_addition_mlp_1250_2 - test_acc__MIN","reversed_addition_mlp_1250_2 - test_acc__MAX","reversed_addition_mlp_1250_2 - train_acc","reversed_addition_mlp_1250_2 - train_acc__MIN","reversed_addition_mlp_1250_2 - train_acc__MAX","reversed_addition_mlp_1250_1 - test_acc","reversed_addition_mlp_1250_1 - test_acc__MIN","reversed_addition_mlp_1250_1 - test_acc__MAX","reversed_addition_mlp_1250_1 - train_acc","reversed_addition_mlp_1250_1 - train_acc__MIN","reversed_addition_mlp_1250_1 - train_acc__MAX","reversed_addition_mlp_1250_0 - test_acc","reversed_addition_mlp_1250_0 - test_acc__MIN","reversed_addition_mlp_1250_0 - test_acc__MAX","reversed_addition_mlp_1250_0 - train_acc","reversed_addition_mlp_1250_0 - train_acc__MIN","reversed_addition_mlp_1250_0 - train_acc__MAX","reversed_addition_mlp_10000_2 - test_acc","reversed_addition_mlp_10000_2 - test_acc__MIN","reversed_addition_mlp_10000_2 - test_acc__MAX","reversed_addition_mlp_10000_2 - train_acc","reversed_addition_mlp_10000_2 - train_acc__MIN","reversed_addition_mlp_10000_2 - train_acc__MAX","reversed_addition_mlp_10000_1 - test_acc","reversed_addition_mlp_10000_1 - test_acc__MIN","reversed_addition_mlp_10000_1 - test_acc__MAX","reversed_addition_mlp_10000_1 - train_acc","reversed_addition_mlp_10000_1 - train_acc__MIN","reversed_addition_mlp_10000_1 - train_acc__MAX","reversed_addition_mlp_10000_0 - test_acc","reversed_addition_mlp_10000_0 - test_acc__MIN","reversed_addition_mlp_10000_0 - test_acc__MAX","reversed_addition_mlp_10000_0 - train_acc","reversed_addition_mlp_10000_0 - train_acc__MIN","reversed_addition_mlp_10000_0 - train_acc__MAX"
"0","0.00012857142857142858","0.00012857142857142858","0.00012857142857142858","0","0","0","0.00002857142857142857","0.00002857142857142857","0.00002857142857142857","0.0002666666666666667","0.0002666666666666667","0.0002666666666666667","0","0","0","0.0002666666666666667","0.0002666666666666667","0.0002666666666666667","0","0","0","0.0002","0.0002","0.0002","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.000014285714285714285","0.000014285714285714285","0.000014285714285714285","0.0002","0.0002","0.0002","0","0","0","0.0004","0.0004","0.0004","0.00015714285714285713","0.00015714285714285713","0.00015714285714285713","0","0","0","0.00002857142857142857","0.00002857142857142857","0.00002857142857142857","0.0004","0.0004","0.0004","0","0","0","0.00005","0.00005","0.00005","0.00011428571428571428","0.00011428571428571428","0.00011428571428571428","0.00025","0.00025","0.00025","0.000042857142857142856","0.000042857142857142856","0.000042857142857142856","0.00005","0.00005","0.00005","0","0","0","0.00006666666666666667","0.00006666666666666667","0.00006666666666666667","0.00011428571428571428","0.00011428571428571428","0.00011428571428571428","0.0002666666666666667","0.0002666666666666667","0.0002666666666666667","0.000042857142857142856","0.000042857142857142856","0.000042857142857142856","0.00006666666666666667","0.00006666666666666667","0.00006666666666666667","0","0","0","0.0008","0.0008","0.0008","0.00014285714285714287","0.00014285714285714287","0.00014285714285714287","0","0","0","0.00002857142857142857","0.00002857142857142857","0.00002857142857142857","0.0008","0.0008","0.0008","0","0","0","0.0001","0.0001","0.0001","0.00012857142857142858","0.00012857142857142858","0.00012857142857142858","0.0002","0.0002","0.0002","0.00002857142857142857","0.00002857142857142857","0.00002857142857142857","0.0002","0.0002","0.0002"
"100","0.014114285714285715","0.014114285714285715","0.014114285714285715","0.09413333333333333","0.09413333333333333","0.09413333333333333","0.0136","0.0136","0.0136","0.09786666666666667","0.09786666666666667","0.09786666666666667","0.013857142857142858","0.013857142857142858","0.013857142857142858","0.0904","0.0904","0.0904","0.014357142857142857","0.014357142857142857","0.014357142857142857","0.0618","0.0618","0.0618","0.016114285714285713","0.016114285714285713","0.016114285714285713","0.0742","0.0742","0.0742","0.013214285714285715","0.013214285714285715","0.013214285714285715","0.059","0.059","0.059","0.012185714285714286","0.012185714285714286","0.012185714285714286","0.1448","0.1448","0.1448","0.013971428571428572","0.013971428571428572","0.013971428571428572","0.168","0.168","0.168","0.013414285714285714","0.013414285714285714","0.013414285714285714","0.1496","0.1496","0.1496","0.005485714285714286","0.005485714285714286","0.005485714285714286","0.00755","0.00755","0.00755","0.006314285714285714","0.006314285714285714","0.006314285714285714","0.0084","0.0084","0.0084","0.005971428571428571","0.005971428571428571","0.005971428571428571","0.0088","0.0088","0.0088","0.0062","0.0062","0.0062","0.011133333333333334","0.011133333333333334","0.011133333333333334","0.008028571428571428","0.008028571428571428","0.008028571428571428","0.015066666666666667","0.015066666666666667","0.015066666666666667","0.006871428571428572","0.006871428571428572","0.006871428571428572","0.0124","0.0124","0.0124","0.006928571428571429","0.006928571428571429","0.006928571428571429","0.2616","0.2616","0.2616","0.008457142857142858","0.008457142857142858","0.008457142857142858","0.2848","0.2848","0.2848","0.008157142857142858","0.008157142857142858","0.008157142857142858","0.3048","0.3048","0.3048","0.008914285714285715","0.008914285714285715","0.008914285714285715","0.0185","0.0185","0.0185","0.011157142857142857","0.011157142857142857","0.011157142857142857","0.0257","0.0257","0.0257","0.008742857142857142","0.008742857142857142","0.008742857142857142","0.0204","0.0204","0.0204"
"200","0.05581428571428571","0.05581428571428571","0.05581428571428571","0.4024","0.4024","0.4024","0.04937142857142857","0.04937142857142857","0.04937142857142857","0.38906666666666667","0.38906666666666667","0.38906666666666667","0.048214285714285716","0.048214285714285716","0.048214285714285716","0.38133333333333336","0.38133333333333336","0.38133333333333336","0.06841428571428572","0.06841428571428572","0.06841428571428572","0.3422","0.3422","0.3422","0.07664285714285714","0.07664285714285714","0.07664285714285714","0.3674","0.3674","0.3674","0.06972857142857143","0.06972857142857143","0.06972857142857143","0.347","0.347","0.347","0.026828571428571427","0.026828571428571427","0.026828571428571427","0.448","0.448","0.448","0.03265714285714286","0.03265714285714286","0.03265714285714286","0.4928","0.4928","0.4928","0.029157142857142857","0.029157142857142857","0.029157142857142857","0.442","0.442","0.442","0.16605714285714285","0.16605714285714285","0.16605714285714285","0.22725","0.22725","0.22725","0.18758571428571427","0.18758571428571427","0.18758571428571427","0.24765","0.24765","0.24765","0.1695142857142857","0.1695142857142857","0.1695142857142857","0.22095","0.22095","0.22095","0.15975714285714285","0.15975714285714285","0.15975714285714285","0.2578","0.2578","0.2578","0.17815714285714285","0.17815714285714285","0.17815714285714285","0.2760666666666667","0.2760666666666667","0.2760666666666667","0.16338571428571427","0.16338571428571427","0.16338571428571427","0.2508","0.2508","0.2508","0.011942857142857142","0.011942857142857142","0.011942857142857142","0.6408","0.6408","0.6408","0.01277142857142857","0.01277142857142857","0.01277142857142857","0.66","0.66","0.66","0.012285714285714285","0.012285714285714285","0.012285714285714285","0.6656","0.6656","0.6656","0.13467142857142858","0.13467142857142858","0.13467142857142858","0.2701","0.2701","0.2701","0.14335714285714285","0.14335714285714285","0.14335714285714285","0.3023","0.3023","0.3023","0.1372","0.1372","0.1372","0.2858","0.2858","0.2858"
"300","0.08714285714285715","0.08714285714285715","0.08714285714285715","0.6168","0.6168","0.6168","0.08334285714285715","0.08334285714285715","0.08334285714285715","0.6053333333333333","0.6053333333333333","0.6053333333333333","0.07672857142857142","0.07672857142857142","0.07672857142857142","0.5901333333333333","0.5901333333333333","0.5901333333333333","0.1165","0.1165","0.1165","0.5474","0.5474","0.5474","0.12341428571428571","0.12341428571428571","0.12341428571428571","0.564","0.564","0.564","0.1173","0.1173","0.1173","0.5402","0.5402","0.5402","0.0416","0.0416","0.0416","0.6848","0.6848","0.6848","0.04632857142857143","0.04632857142857143","0.04632857142857143","0.694","0.694","0.694","0.04637142857142857","0.04637142857142857","0.04637142857142857","0.6724","0.6724","0.6724","0.2468","0.2468","0.2468","0.36065","0.36065","0.36065","0.25284285714285715","0.25284285714285715","0.25284285714285715","0.36445","0.36445","0.36445","0.25147142857142857","0.25147142857142857","0.25147142857142857","0.35595","0.35595","0.35595","0.23875714285714286","0.23875714285714286","0.23875714285714286","0.40246666666666664","0.40246666666666664","0.40246666666666664","0.2319142857142857","0.2319142857142857","0.2319142857142857","0.39486666666666664","0.39486666666666664","0.39486666666666664","0.2354857142857143","0.2354857142857143","0.2354857142857143","0.3924","0.3924","0.3924","0.0131","0.0131","0.0131","0.8104","0.8104","0.8104","0.015042857142857143","0.015042857142857143","0.015042857142857143","0.8248","0.8248","0.8248","0.01337142857142857","0.01337142857142857","0.01337142857142857","0.8248","0.8248","0.8248","0.20424285714285714","0.20424285714285714","0.20424285714285714","0.4451","0.4451","0.4451","0.20388571428571428","0.20388571428571428","0.20388571428571428","0.4526","0.4526","0.4526","0.20704285714285714","0.20704285714285714","0.20704285714285714","0.4562","0.4562","0.4562"
"400","0.11667142857142856","0.11667142857142856","0.11667142857142856","0.7213333333333334","0.7213333333333334","0.7213333333333334","0.11667142857142856","0.11667142857142856","0.11667142857142856","0.7506666666666667","0.7506666666666667","0.7506666666666667","0.10137142857142857","0.10137142857142857","0.10137142857142857","0.7256","0.7256","0.7256","0.1487857142857143","0.1487857142857143","0.1487857142857143","0.6834","0.6834","0.6834","0.1538","0.1538","0.1538","0.6854","0.6854","0.6854","0.15632857142857143","0.15632857142857143","0.15632857142857143","0.6778","0.6778","0.6778","0.05361428571428571","0.05361428571428571","0.05361428571428571","0.8028","0.8028","0.8028","0.05922857142857143","0.05922857142857143","0.05922857142857143","0.8136","0.8136","0.8136","0.059457142857142854","0.059457142857142854","0.059457142857142854","0.8188","0.8188","0.8188","0.31175714285714284","0.31175714285714284","0.31175714285714284","0.4723","0.4723","0.4723","0.3190857142857143","0.3190857142857143","0.3190857142857143","0.47965","0.47965","0.47965","0.3130142857142857","0.3130142857142857","0.3130142857142857","0.4757","0.4757","0.4757","0.2746142857142857","0.2746142857142857","0.2746142857142857","0.504","0.504","0.504","0.27617142857142857","0.27617142857142857","0.27617142857142857","0.49493333333333334","0.49493333333333334","0.49493333333333334","0.27955714285714284","0.27955714285714284","0.27955714285714284","0.4916","0.4916","0.4916","0.014342857142857143","0.014342857142857143","0.014342857142857143","0.8928","0.8928","0.8928","0.016428571428571428","0.016428571428571428","0.016428571428571428","0.888","0.888","0.888","0.016014285714285714","0.016014285714285714","0.016014285714285714","0.9104","0.9104","0.9104","0.2324","0.2324","0.2324","0.55","0.55","0.55","0.23638571428571428","0.23638571428571428","0.23638571428571428","0.553","0.553","0.553","0.23722857142857143","0.23722857142857143","0.23722857142857143","0.5512","0.5512","0.5512"
"500","0.13514285714285715","0.13514285714285715","0.13514285714285715","0.8130666666666667","0.8130666666666667","0.8130666666666667","0.13002857142857144","0.13002857142857144","0.13002857142857144","0.8181333333333334","0.8181333333333334","0.8181333333333334","0.12167142857142857","0.12167142857142857","0.12167142857142857","0.8165333333333333","0.8165333333333333","0.8165333333333333","0.1732","0.1732","0.1732","0.7712","0.7712","0.7712","0.17817142857142856","0.17817142857142856","0.17817142857142856","0.764","0.764","0.764","0.17635714285714285","0.17635714285714285","0.17635714285714285","0.7758","0.7758","0.7758","0.06262857142857142","0.06262857142857142","0.06262857142857142","0.8832","0.8832","0.8832","0.06938571428571429","0.06938571428571429","0.06938571428571429","0.882","0.882","0.882","0.06767142857142858","0.06767142857142858","0.06767142857142858","0.8876","0.8876","0.8876","0.38967142857142856","0.38967142857142856","0.38967142857142856","0.5879","0.5879","0.5879","0.3939","0.3939","0.3939","0.577","0.577","0.577","0.38134285714285715","0.38134285714285715","0.38134285714285715","0.57445","0.57445","0.57445","0.3217285714285714","0.3217285714285714","0.3217285714285714","0.5866","0.5866","0.5866","0.31767142857142855","0.31767142857142855","0.31767142857142855","0.5695333333333333","0.5695333333333333","0.5695333333333333","0.33025714285714286","0.33025714285714286","0.33025714285714286","0.5961333333333333","0.5961333333333333","0.5961333333333333","0.01447142857142857","0.01447142857142857","0.01447142857142857","0.936","0.936","0.936","0.015885714285714284","0.015885714285714284","0.015885714285714284","0.9304","0.9304","0.9304","0.01647142857142857","0.01647142857142857","0.01647142857142857","0.9336","0.9336","0.9336","0.2546285714285714","0.2546285714285714","0.2546285714285714","0.6255","0.6255","0.6255","0.26327142857142855","0.26327142857142855","0.26327142857142855","0.6263","0.6263","0.6263","0.2634285714285714","0.2634285714285714","0.2634285714285714","0.6305","0.6305","0.6305"
"600","0.1405142857142857","0.1405142857142857","0.1405142857142857","0.8634666666666667","0.8634666666666667","0.8634666666666667","0.1375","0.1375","0.1375","0.8752","0.8752","0.8752","0.1273857142857143","0.1273857142857143","0.1273857142857143","0.8701333333333333","0.8701333333333333","0.8701333333333333","0.1846857142857143","0.1846857142857143","0.1846857142857143","0.8218","0.8218","0.8218","0.18592857142857142","0.18592857142857142","0.18592857142857142","0.8198","0.8198","0.8198","0.18751428571428572","0.18751428571428572","0.18751428571428572","0.8144","0.8144","0.8144","0.0625","0.0625","0.0625","0.9156","0.9156","0.9156","0.07075714285714285","0.07075714285714285","0.07075714285714285","0.9184","0.9184","0.9184","0.06872857142857143","0.06872857142857143","0.06872857142857143","0.9236","0.9236","0.9236","0.4636571428571429","0.4636571428571429","0.4636571428571429","0.67585","0.67585","0.67585","0.46387142857142855","0.46387142857142855","0.46387142857142855","0.6667","0.6667","0.6667","0.4549142857142857","0.4549142857142857","0.4549142857142857","0.6609","0.6609","0.6609","0.3725857142857143","0.3725857142857143","0.3725857142857143","0.6507333333333334","0.6507333333333334","0.6507333333333334","0.36357142857142855","0.36357142857142855","0.36357142857142855","0.6569333333333334","0.6569333333333334","0.6569333333333334","0.3794142857142857","0.3794142857142857","0.3794142857142857","0.6683333333333333","0.6683333333333333","0.6683333333333333","0.0142","0.0142","0.0142","0.9432","0.9432","0.9432","0.01612857142857143","0.01612857142857143","0.01612857142857143","0.944","0.944","0.944","0.016957142857142858","0.016957142857142858","0.016957142857142858","0.9488","0.9488","0.9488","0.2828857142857143","0.2828857142857143","0.2828857142857143","0.6963","0.6963","0.6963","0.29165714285714284","0.29165714285714284","0.29165714285714284","0.6884","0.6884","0.6884","0.28887142857142856","0.28887142857142856","0.28887142857142856","0.6993","0.6993","0.6993"
"700","0.14494285714285715","0.14494285714285715","0.14494285714285715","0.9018666666666667","0.9018666666666667","0.9018666666666667","0.14034285714285713","0.14034285714285713","0.14034285714285713","0.9093333333333333","0.9093333333333333","0.9093333333333333","0.13127142857142857","0.13127142857142857","0.13127142857142857","0.9093333333333333","0.9093333333333333","0.9093333333333333","0.18345714285714285","0.18345714285714285","0.18345714285714285","0.8454","0.8454","0.8454","0.18998571428571429","0.18998571428571429","0.18998571428571429","0.8632","0.8632","0.8632","0.19407142857142856","0.19407142857142856","0.19407142857142856","0.8672","0.8672","0.8672","0.058042857142857146","0.058042857142857146","0.058042857142857146","0.934","0.934","0.934","0.07237142857142857","0.07237142857142857","0.07237142857142857","0.9408","0.9408","0.9408","0.06674285714285715","0.06674285714285715","0.06674285714285715","0.9384","0.9384","0.9384","0.5368857142857143","0.5368857142857143","0.5368857142857143","0.7404","0.7404","0.7404","0.5431714285714285","0.5431714285714285","0.5431714285714285","0.7438","0.7438","0.7438","0.5413714285714286","0.5413714285714286","0.5413714285714286","0.75005","0.75005","0.75005","0.4271142857142857","0.4271142857142857","0.4271142857142857","0.7310666666666666","0.7310666666666666","0.7310666666666666","0.41544285714285717","0.41544285714285717","0.41544285714285717","0.7144666666666667","0.7144666666666667","0.7144666666666667","0.4248571428571429","0.4248571428571429","0.4248571428571429","0.7294666666666667","0.7294666666666667","0.7294666666666667","0.014157142857142858","0.014157142857142858","0.014157142857142858","0.9624","0.9624","0.9624","0.016428571428571428","0.016428571428571428","0.016428571428571428","0.9632","0.9632","0.9632","0.015614285714285714","0.015614285714285714","0.015614285714285714","0.9544","0.9544","0.9544","0.30365714285714285","0.30365714285714285","0.30365714285714285","0.7323","0.7323","0.7323","0.3136285714285714","0.3136285714285714","0.3136285714285714","0.7454","0.7454","0.7454","0.3131857142857143","0.3131857142857143","0.3131857142857143","0.7428","0.7428","0.7428"
